id,cipher_name,cipher_security
49294,TLS_PSK_WITH_CAMELLIA_128_GCM_SHA256,insecure
49295,TLS_PSK_WITH_CAMELLIA_256_GCM_SHA384,insecure
49296,TLS_DHE_PSK_WITH_CAMELLIA_128_GCM_SHA256,degraded
49297,TLS_DHE_PSK_WITH_CAMELLIA_256_GCM_SHA384,degraded
49298,TLS_RSA_PSK_WITH_CAMELLIA_128_GCM_SHA256,insecure
49299,TLS_RSA_PSK_WITH_CAMELLIA_256_GCM_SHA384,insecure
49300,TLS_PSK_WITH_CAMELLIA_128_CBC_SHA256,insecure
49301,TLS_PSK_WITH_CAMELLIA_256_CBC_SHA384,insecure
49302,TLS_DHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,degraded
49303,TLS_DHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,degraded
49304,TLS_RSA_PSK_WITH_CAMELLIA_128_CBC_SHA256,insecure
49305,TLS_RSA_PSK_WITH_CAMELLIA_256_CBC_SHA384,insecure
49306,TLS_ECDHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,degraded
49307,TLS_ECDHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,degraded
49308,TLS_RSA_WITH_AES_128_CCM,insecure
49309,TLS_RSA_WITH_AES_256_CCM,insecure
49310,TLS_DHE_RSA_WITH_AES_128_CCM,degraded
49311,TLS_DHE_RSA_WITH_AES_256_CCM,insecure
49312,TLS_RSA_WITH_AES_128_CCM_8,insecure
49313,TLS_RSA_WITH_AES_256_CCM_8,insecure
49314,TLS_DHE_RSA_WITH_AES_128_CCM_8,insecure
49315,TLS_DHE_RSA_WITH_AES_256_CCM_8,insecure
49316,TLS_PSK_WITH_AES_128_CCM,insecure
49317,TLS_PSK_WITH_AES_256_CCM,insecure
49318,TLS_DHE_PSK_WITH_AES_128_CCM,degraded
49319,TLS_DHE_PSK_WITH_AES_256_CCM,degraded
49320,TLS_PSK_WITH_AES_128_CCM_8,insecure
49321,TLS_PSK_WITH_AES_256_CCM_8,insecure
49322,TLS_PSK_DHE_WITH_AES_128_CCM_8,insecure
49323,TLS_PSK_DHE_WITH_AES_256_CCM_8,insecure
49324,TLS_ECDHE_ECDSA_WITH_AES_128_CCM,recommended
49325,TLS_ECDHE_ECDSA_WITH_AES_256_CCM,recommended
49326,TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8,insecure
49327,TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8,insecure
49328,TLS_ECCPWD_WITH_AES_128_GCM_SHA256,insecure
49329,TLS_ECCPWD_WITH_AES_256_GCM_SHA384,insecure
49330,TLS_ECCPWD_WITH_AES_128_CCM_SHA256,insecure
49331,TLS_ECCPWD_WITH_AES_256_CCM_SHA384,insecure
49332,TLS_SHA256_SHA256,insecure
49333,TLS_SHA384_SHA384,insecure
49408,TLS_GOSTR341112_256_WITH_KUZNYECHIK_CTR_OMAC,insecure
49409,TLS_GOSTR341112_256_WITH_MAGMA_CTR_OMAC,insecure
